Month,Name1,Name2,Economic Indicators,Impact1,MDD.Growth,Underlying Economic Activity
2022M01,MDD Growth,UEA,Consumption,0.203118676,38.05913856,2.111210345
2022M01,MDD Growth,UEA,Financial,0.027607588,0,0
2022M01,MDD Growth,UEA,Fiscal,0.106677833,0,0
2022M01,MDD Growth,UEA,Housing,0.12742471,0,0
2022M01,MDD Growth,UEA,Industrial Output,0.079616964,0,0
2022M01,MDD Growth,UEA,Investment,0.203633337,0,0
2022M01,MDD Growth,UEA,Labour Market,0.49131405,0,0
2022M01,MDD Growth,UEA,Prices,0.024261268,0,0
2022M01,MDD Growth,UEA,Soft,0.956165609,0,0
2022M01,MDD Growth,UEA,NA,0.01050864,0,0
2022M02,MDD Growth,UEA,Consumption,0.13682136,9.080467945,2.316675654
2022M02,MDD Growth,UEA,Financial,0.020724885,0,0
2022M02,MDD Growth,UEA,Fiscal,0.098593172,0,0
2022M02,MDD Growth,UEA,Housing,0.146489699,0,0
2022M02,MDD Growth,UEA,Industrial Output,0.251453558,0,0
2022M02,MDD Growth,UEA,Investment,0.142021612,0,0
2022M02,MDD Growth,UEA,Labour Market,0.542972295,0,0
2022M02,MDD Growth,UEA,Prices,0.028490303,0,0
2022M02,MDD Growth,UEA,Soft,0.846382419,0,0
2022M02,MDD Growth,UEA,NA,0.009007632,0,0
2022M03,MDD Growth,UEA,Consumption,0.132117191,-6.748585477,1.799672616
2022M03,MDD Growth,UEA,Financial,0.021272354,0,0
2022M03,MDD Growth,UEA,Fiscal,0.253461236,0,0
2022M03,MDD Growth,UEA,Housing,0.16836589,0,0
2022M03,MDD Growth,UEA,Industrial Output,0.1664859,0,0
2022M03,MDD Growth,UEA,Investment,0.044287068,0,0
2022M03,MDD Growth,UEA,Labour Market,0.51770574,0,0
2022M03,MDD Growth,UEA,Prices,0.03662144,0,0
2022M03,MDD Growth,UEA,Soft,0.391145618,0,0
2022M03,MDD Growth,UEA,NA,0.007871734,0,0
2022M04,MDD Growth,UEA,Consumption,0.306119696,-11.50712523,1.067277418
2022M04,MDD Growth,UEA,Financial,0.026313079,0,0
2022M04,MDD Growth,UEA,Fiscal,0.210092674,0,0
2022M04,MDD Growth,UEA,Housing,0.063499999,0,0
2022M04,MDD Growth,UEA,Industrial Output,-0.108850702,0,0
2022M04,MDD Growth,UEA,Investment,0.10659437,0,0
2022M04,MDD Growth,UEA,Labour Market,0.465011039,0,0
2022M04,MDD Growth,UEA,Prices,0.038786387,0,0
2022M04,MDD Growth,UEA,Soft,-0.049884878,0,0
2022M04,MDD Growth,UEA,NA,0.005640506,0,0
2022M05,MDD Growth,UEA,Consumption,0.044463778,-12.72383856,0.375009312
2022M05,MDD Growth,UEA,Financial,0.020074839,0,0
2022M05,MDD Growth,UEA,Fiscal,0.141487337,0,0
2022M05,MDD Growth,UEA,Housing,0.09495042,0,0
2022M05,MDD Growth,UEA,Industrial Output,0.009302217,0,0
2022M05,MDD Growth,UEA,Investment,0.089281506,0,0
2022M05,MDD Growth,UEA,Labour Market,0.44598243,0,0
2022M05,MDD Growth,UEA,Prices,0.04459184,0,0
2022M05,MDD Growth,UEA,Soft,-0.484246718,0,0
2022M05,MDD Growth,UEA,NA,0.005275395,0,0
2022M06,MDD Growth,UEA,Consumption,-0.117308123,-9.452241558,-0.075313257
2022M06,MDD Growth,UEA,Financial,0.009452079,0,0
2022M06,MDD Growth,UEA,Fiscal,0.175704209,0,0
2022M06,MDD Growth,UEA,Housing,0.08987984,0,0
2022M06,MDD Growth,UEA,Industrial Output,-0.071066113,0,0
2022M06,MDD Growth,UEA,Investment,0.068137589,0,0
2022M06,MDD Growth,UEA,Labour Market,0.40498352,0,0
2022M06,MDD Growth,UEA,Prices,0.05270172,0,0
2022M06,MDD Growth,UEA,Soft,-0.643713944,0,0
2022M06,MDD Growth,UEA,NA,0.003896091,0,0
2022M07,MDD Growth,UEA,Consumption,-0.153443308,-2.177362627,-0.310928761
2022M07,MDD Growth,UEA,Financial,0.027919226,0,0
2022M07,MDD Growth,UEA,Fiscal,0.152870892,0,0
2022M07,MDD Growth,UEA,Housing,0.106950111,0,0
2022M07,MDD Growth,UEA,Industrial Output,0.046536854,0,0
2022M07,MDD Growth,UEA,Investment,-0.094231846,0,0
2022M07,MDD Growth,UEA,Labour Market,0.336341948,0,0
2022M07,MDD Growth,UEA,Prices,0.053588337,0,0
2022M07,MDD Growth,UEA,Soft,-0.787669494,0,0
2022M07,MDD Growth,UEA,NA,0.006208455,0,0
2022M08,MDD Growth,UEA,Consumption,-0.059155074,-5.774681034,-0.082736422
2022M08,MDD Growth,UEA,Financial,0.012768863,0,0
2022M08,MDD Growth,UEA,Fiscal,0.14505729,0,0
