Quarter,PALF,Average
2015Q1,0.628880546,0.638325873
2015Q2,0.62885854,0.638325873
2015Q3,0.627906503,0.638325873
2015Q4,0.62762962,0.638325873
2016Q1,0.627328857,0.638325873
2016Q2,0.628854885,0.638325873
2016Q3,0.63042735,0.638325873
2016Q4,0.630887727,0.638325873
2017Q1,0.631420603,0.638325873
2017Q2,0.629059648,0.638325873
2017Q3,0.63288394,0.638325873
2017Q4,0.638488095,0.638325873
2018Q1,0.64404353,0.638325873
2018Q2,0.651616828,0.638325873
2018Q3,0.652074498,0.638325873
2018Q4,0.651660967,0.638325873
2019Q1,0.652123083,0.638325873
2019Q2,0.651108938,0.638325873
2019Q3,0.650309381,0.638325873
2019Q4,0.650953927,0.638325873
2020Q1,0.651517558,0.638325873
2020Q2,0.648793701,0.638325873
2020Q3,0.649086633,0.638325873
2020Q4,0.648631489,0.638325873
2021Q1,0.649323054,0.638325873
2021Q2,0.657604041,0.638325873
2021Q3,0.663410224,0.638325873
2021Q4,0.67022711,0.638325873
2022Q1,0.674075221,0.638325873
2022Q2,0.67353827,0.638325873
2022Q3,0.670631228,0.638325873
2022Q4,0.666539016,0.638325873
2023Q1,0.666630468,0.638325873
2023Q2,0.668470607,0.638325873
