Month,Services,Manufacturing,Construction,NoChange
2021M01,49.8,50.8,34.6,50
2021M02,48.6,52.9,34.5,50
2021M03,52.6,55.7,43.7,50
2021M04,53,57.7,51.6,50
2021M05,54.8,60,58.2,50
2021M06,58.6,59.4,56.9,50
2021M07,60,57.7,56.4,50
2021M08,58.3,58,57.4,50
2021M09,56.8,55.6,54.8,50
2021M10,57.6,55.7,55.1,50
2021M11,55.7,55,56.2,50
2021M12,54,54.3,54.6,50
2022M01,55.6,54.9,55,50
2022M02,56.5,53.7,53.5,50
2022M03,58.2,56.6,52.1,50
2022M04,57.6,58.6,52.5,50
2022M05,58.5,59.3,54.9,50
2022M06,56.4,55.7,50.1,50
2022M07,57.5,52.9,49.8,50
2022M08,56.5,52.4,50.6,50
2022M09,56.3,53.8,51.1,50
2022M10,56.6,52.9,50.9,50
2022M11,55.3,49.7,49.9,50
2022M12,54.4,50.2,48.1,50
2023M01,52.7,52.6,50.6,50
2023M02,53.3,53.9,54.7,50
2023M03,54,51.4,53.1,50
2023M04,56.4,51.5,50.5,50
2023M05,54.5,50.8,51.2,50
2023M06,54.7,48.1,52,50
2023M07,53.1,51.6,53.4,50
2023M08,54,52.2,51.5,50
2023M09,53.7,51.8,52,50
2023M10,51.5,50.4,53.4,50
