Obs,Date,US,UK,Ireland,Germany
1,2020-02-01,100,100,100,100
2,2020-02-02,100,100,99.9,100
3,2020-02-03,100,100,99.8,100.1
4,2020-02-04,100,100,99.7,99.7
5,2020-02-05,100.1,100,99.6,99.9
6,2020-02-06,100.2,99.9,99.3,100
7,2020-02-07,100.2,100,99.1,100
8,2020-02-08,100.2,100.1,98.8,100.1
9,2020-02-09,100.2,100.2,98.7,100.2
10,2020-02-10,100.3,100.2,98.5,100.1
11,2020-02-11,100.2,100.1,97.7,100.4
12,2020-02-12,100.2,100.1,96.8,100.2
13,2020-02-13,100.1,100.1,96,99.9
14,2020-02-14,100.1,100.1,95.3,99.8
15,2020-02-15,99.8,99.8,94.6,99.4
16,2020-02-16,99.6,99.4,93.7,98.7
17,2020-02-17,99.4,99.3,92.9,98.4
18,2020-02-18,99.2,99.4,92.9,98.3
19,2020-02-19,99,99.3,92.8,98.3
20,2020-02-20,98.8,99.3,92.8,98.4
21,2020-02-21,98.5,99.2,92.8,98.6
22,2020-02-22,98.5,99.4,92.7,99
23,2020-02-23,98.4,99.6,92.8,99.7
24,2020-02-24,98.4,99.6,93.2,100
25,2020-02-25,98.3,99.3,93.5,100.2
26,2020-02-26,98.3,99.1,93.8,100.4
27,2020-02-27,98.4,99,93.9,100.7
28,2020-02-28,98.4,98.9,94.1,100.9
29,2020-02-29,98.5,98.8,94.4,101.3
30,2020-03-01,98.6,98.6,94.5,101.3
31,2020-03-02,98.6,98.4,94.2,101.6
32,2020-03-03,98.6,98.4,94,101.9
33,2020-03-04,98.4,98.4,94,102
34,2020-03-05,98.3,98.3,93.9,102
35,2020-03-06,98.2,98.2,93.7,101.8
36,2020-03-07,98.1,98.2,93.6,101.7
37,2020-03-08,97.9,98.3,93.4,101.6
38,2020-03-09,97.8,98.3,93.4,101.6
39,2020-03-10,97.7,98.3,93.4,101.5
40,2020-03-11,97.6,98.3,93.3,101.4
41,2020-03-12,97.5,98.2,93.1,101.4
42,2020-03-13,97.3,98.1,92.9,101.3
43,2020-03-14,97.1,97.8,92.5,101.2
44,2020-03-15,96.8,97.4,92.1,101
45,2020-03-16,96.6,97,91.6,100.7
46,2020-03-17,96,96.1,90.6,100.2
47,2020-03-18,95.3,95,89.5,99.6
48,2020-03-19,94.5,93.5,88.1,98.9
49,2020-03-20,93.5,91.6,86.4,98.1
50,2020-03-21,92.1,89.4,84.6,97.1
51,2020-03-22,90.8,87.2,82.8,96.2
52,2020-03-23,89.5,85.1,81.2,95.5
53,2020-03-24,88.2,82.9,79.5,95
54,2020-03-25,86.8,80.8,77.7,94.4
55,2020-03-26,85.5,78.6,76.3,93.8
56,2020-03-27,84,76.5,75.2,93.5
57,2020-03-28,82.8,74.6,74,93.1
58,2020-03-29,81.5,72.8,72.7,92.8
59,2020-03-30,80.3,71,71.4,92.6
60,2020-03-31,79,69.4,70.3,92
61,2020-04-01,77.8,67.6,69.1,91.3
62,2020-04-02,76.6,66.1,67.8,90.4
63,2020-04-03,75.7,64.8,66.7,89.7
64,2020-04-04,74.6,63.8,65.5,89.4
65,2020-04-05,73.3,62.6,64.5,88.9
66,2020-04-06,72.2,61.5,63.4,88.2
67,2020-04-07,71.1,60.3,62.3,87.8
68,2020-04-08,70.3,59.5,61.5,87.6
69,2020-04-09,69.4,58.6,60.6,87.6
70,2020-04-10,68.5,57.7,59.8,87.4
71,2020-04-11,68,56.8,59.1,87
72,2020-04-12,67.4,56,58.3,86.5
73,2020-04-13,66.8,55.2,57.5,86.2
74,2020-04-14,66.3,54.4,56.7,86
75,2020-04-15,65.7,53.7,56.1,85.7
76,2020-04-16,65.2,53,55.5,85.6
77,2020-04-17,64.8,52.4,54.8,85.2
78,2020-04-18,64.4,51.8,54.2,85.2
79,2020-04-19,64.1,51.3,53.6,85.1
80,2020-04-20,63.8,50.6,53.1,84.6
81,2020-04-21,63.5,50,52.6,84.4
82,2020-04-22,63.3,49.4,52.1,84.1
83,2020-04-23,63,48.9,51.6,83.9
84,2020-04-24,62.8,48.5,51.2,83.8
85,2020-04-25,62.6,48.1,50.8,83.6
86,2020-04-26,62.5,47.7,50.4,83.5
87,2020-04-27,62.2,47.5,50,83.5
88,2020-04-28,62,47.4,49.8,83.5
89,2020-04-29,61.8,47.3,49.6,83.5
90,2020-04-30,61.7,47.1,49.4,83.4
91,2020-05-01,61.6,46.8,49.3,83.2
92,2020-05-02,61.4,46.5,49.1,83
93,2020-05-03,61.3,46.2,49,82.9
94,2020-05-04,61.1,46,48.8,82.7
95,2020-05-05,61,45.6,48.5,82.4
96,2020-05-06,61,45.2,48.3,82.1
97,2020-05-07,61,45,48,81.7
98,2020-05-08,61.1,44.8,47.8,81.6
99,2020-05-09,61.3,44.7,47.7,81.4
100,2020-05-10,61.5,44.5,47.6,81.2
101,2020-05-11,61.6,44.3,47.4,81
102,2020-05-12,61.8,44.3,47.4,80.9
103,2020-05-13,61.5,44.1,47.2,80.8
104,2020-05-14,61.6,43.9,47,80.7
105,2020-05-15,61.8,43.4,46.7,80.3
106,2020-05-16,61.8,43,46.5,80.1
107,2020-05-17,61.8,42.7,46.1,79.7
108,2020-05-18,61.9,42.3,45.7,79.4
109,2020-05-19,62,41.9,45.5,79.1
110,2020-05-20,62.4,41.7,45.3,78.7
111,2020-05-21,62.7,41.7,45.4,78.6
112,2020-05-22,62.8,41.7,45.7,78.5
113,2020-05-23,63.1,41.7,46,78.3
114,2020-05-24,63.2,41.6,46.2,78.2
115,2020-05-25,63.4,41.5,46.3,77.8
116,2020-05-26,63.5,41.3,46.3,77.6
117,2020-05-27,63.6,41,46.4,77.8
118,2020-05-28,63.6,40.5,46.2,77.9
119,2020-05-29,63.8,40.3,45.7,78.1
120,2020-05-30,64.1,40.1,45.4,78.5
121,2020-05-31,64.4,40,45.3,78.9
122,2020-06-01,64.6,39.9,45.1,79.2
123,2020-06-02,64.9,39.9,45.1,79.5
124,2020-06-03,65.2,39.8,44.9,79.5
125,2020-06-04,65.6,39.8,44.8,79.5
126,2020-06-05,65.9,39.9,45.2,79.5
127,2020-06-06,66.1,40,45.6,79.5
128,2020-06-07,66.3,40.2,46.1,79.6
129,2020-06-08,66.6,40.3,46.7,79.8
130,2020-06-09,66.8,40.5,47.3,80.1
131,2020-06-10,67.1,40.6,47.8,80.3
132,2020-06-11,67.3,40.8,48.3,80.6
133,2020-06-12,67.5,40.8,48.5,80.8
134,2020-06-13,67.8,40.9,48.8,80.9
135,2020-06-14,68.1,40.9,48.9,80.8
136,2020-06-15,68.5,40.9,49.1,80.7
137,2020-06-16,68.9,40.9,49.5,80.6
138,2020-06-17,69.2,41,49.8,80.6
139,2020-06-18,69.6,41.2,50.1,80.5
140,2020-06-19,70,41.3,50.4,80.4
141,2020-06-20,70.5,41.4,50.7,80.3
142,2020-06-21,71,41.5,51,80.4
143,2020-06-22,71.5,41.6,51.2,80.3
144,2020-06-23,71.7,41.7,51.4,80.4
145,2020-06-24,71.9,41.8,51.6,80.3
146,2020-06-25,72.2,41.8,51.7,80.1
147,2020-06-26,72.3,41.8,51.8,80
148,2020-06-27,72.4,41.7,51.7,79.8
149,2020-06-28,72.4,41.7,51.8,79.9
150,2020-06-29,72.5,41.7,51.8,80
151,2020-06-30,72.8,41.6,51.8,80
152,2020-07-01,73.1,41.4,51.6,80
153,2020-07-02,73.3,41.3,51.5,80.2
154,2020-07-03,73.6,41.3,51.5,80.2
155,2020-07-04,73.9,41.3,51.6,80.3
156,2020-07-05,74.1,41.3,51.7,80.3
157,2020-07-06,74.4,41.2,51.8,80.2
158,2020-07-07,74.6,41.3,52.1,80.1
159,2020-07-08,74.9,41.5,52.3,80.3
160,2020-07-09,75.3,41.6,52.5,80.4
161,2020-07-10,75.6,41.8,52.6,80.2
162,2020-07-11,76,41.8,52.6,79.6
163,2020-07-12,76.4,42,52.7,79.3
164,2020-07-13,76.8,42.1,52.8,79.1
165,2020-07-14,77.2,42.3,53,79
166,2020-07-15,77.5,42.4,52.9,78.5
