Quarter,LabourSlack,Average
2015Q1,17.45833333,13.86977008
2015Q2,17.91555556,13.86977008
2015Q3,15.10714286,13.86977008
2015Q4,17.3986014,13.86977008
2016Q1,14.59670782,13.86977008
2016Q2,15.46624473,13.86977008
2016Q3,12.57326007,13.86977008
2016Q4,12.76422764,13.86977008
2017Q1,11.53639847,13.86977008
2017Q2,9.651282051,13.86977008
2017Q3,14.44268078,13.86977008
2017Q4,14.9039548,13.86977008
2018Q1,14.52434457,13.86977008
2018Q2,12.39393939,13.86977008
2018Q3,13.30729167,13.86977008
2018Q4,14.13409962,13.86977008
2019Q1,12.54945055,13.86977008
2019Q2,11.70542636,13.86977008
2019Q3,12.96461825,13.86977008
2019Q4,12.00184162,13.86977008
2020Q1,15.52380952,13.86977008
2020Q2,29.69586375,13.86977008
2020Q3,21.54658385,13.86977008
2020Q4,19.33531746,13.86977008
2021Q1,21.62921348,13.86977008
2021Q2,14.80112045,13.86977008
2021Q3,8.0471597,13.86977008
2021Q4,8.16893424,13.86977008
2022Q1,6.289156627,13.86977008
2022Q2,5.765792031,13.86977008
2022Q3,5.612103175,13.86977008
2022Q4,6.304093567,13.86977008
2023Q1,6.315731573,13.86977008
2023Q2,7.567375887,13.86977008
2023Q3,,
