Month,Permits
2015M01,481
2015M02,371
2015M03,472
2015M04,770
2015M05,534
2015M06,822
2015M07,693
2015M08,291
2015M09,742
2015M10,918
2015M11,738
2015M12,435
2016M01,492
2016M02,896
2016M03,773
2016M04,851
2016M05,850
2016M06,1020
2016M07,1081
2016M08,1100
2016M09,386
2016M10,562
2016M11,797
2016M12,575
2017M01,842
2017M02,658
2017M03,871
2017M04,594
2017M05,1315
2017M06,1288
2017M07,1199
2017M08,812
2017M09,869
2017M10,1087
2017M11,1054
2017M12,765
2018M01,1240
2018M02,709
2018M03,774
2018M04,813
2018M05,1169
2018M06,1146
2018M07,1199
2018M08,993
2018M09,1241
2018M10,1522
2018M11,1505
2018M12,1087
2019M01,1558
2019M02,1202
2019M03,1156
2019M04,1114
2019M05,1360
2019M06,1588
2019M07,1661
2019M08,1533
2019M09,1285
2019M10,1562
2019M11,1367
2019M12,1002
2020M01,1335
2020M02,1428
2020M03,1222
2020M04,1765
2020M05,1703
2020M06,1583
2020M07,1405
2020M08,1046
2020M09,1143
2020M10,1291
2020M11,1366
2020M12,1132
2021M01,1369
2021M02,965
2021M03,1049
2021M04,1000
2021M05,933
2021M06,1307
2021M07,1529
2021M08,1376
2021M09,1588
2021M10,1588
2021M11,1553
2021M12,2018
2022M01,2278
2022M02,2539
2022M03,3458
2022M04,4012
2022M05,3996
2022M06,3877
2022M07,3956
2022M08,3536
2022M09,3423
2022M10,3064
2022M11,3599
2022M12,2217
2023M01,2527
2023M02,2192
2023M03,2546
2023M04,2179
2023M05,2758
2023M06,3138
2023M07,3031
2023M08,2411
2023M09,2203
2023M10,2544
2023M11,3005
2023M12,2447
