Month,Name1,Name2,Economic Indicators,Impact1,MDD.Growth,Underlying Economic Activity
2020M01,MDD Growth,UEA,Consumption,-0.011079057,38.05913856,0.035576603
2020M01,MDD Growth,UEA,Financial,0.021364775,0,0
2020M01,MDD Growth,UEA,Fiscal,0.019818347,0,0
2020M01,MDD Growth,UEA,Housing,0.02895971,0,0
2020M01,MDD Growth,UEA,Industrial Output,0.096256584,0,0
2020M01,MDD Growth,UEA,Investment,-0.029628178,0,0
2020M01,MDD Growth,UEA,Labour Market,0.011670483,0,0
2020M01,MDD Growth,UEA,Prices,-0.001191392,0,0
2020M01,MDD Growth,UEA,Soft,-0.060195973,0,0
2020M01,MDD Growth,UEA,NA,0.01263219,0,0
2020M02,MDD Growth,UEA,Consumption,-0.023880582,9.080467945,-0.145171886
2020M02,MDD Growth,UEA,Financial,0.022575795,0,0
2020M02,MDD Growth,UEA,Fiscal,0.04108895,0,0
2020M02,MDD Growth,UEA,Housing,0.012659472,0,0
2020M02,MDD Growth,UEA,Industrial Output,-0.043688798,0,0
2020M02,MDD Growth,UEA,Investment,-0.030284294,0,0
2020M02,MDD Growth,UEA,Labour Market,0.008989727,0,0
2020M02,MDD Growth,UEA,Prices,-0.002550566,0,0
2020M02,MDD Growth,UEA,Soft,-0.072268166,0,0
2020M02,MDD Growth,UEA,NA,0.0127142,0,0
2020M03,MDD Growth,UEA,Consumption,-0.073846006,-6.748585477,-1.84143914
2020M03,MDD Growth,UEA,Financial,-0.009235672,0,0
2020M03,MDD Growth,UEA,Fiscal,-0.13054471,0,0
2020M03,MDD Growth,UEA,Housing,0.012355475,0,0
2020M03,MDD Growth,UEA,Industrial Output,-0.008560509,0,0
2020M03,MDD Growth,UEA,Investment,-0.071609616,0,0
2020M03,MDD Growth,UEA,Labour Market,-0.466882235,0,0
2020M03,MDD Growth,UEA,Prices,-0.005236455,0,0
2020M03,MDD Growth,UEA,Soft,-0.804776827,0,0
2020M03,MDD Growth,UEA,NA,0.01177101,0,0
2020M04,MDD Growth,UEA,Consumption,-0.688887829,-11.50712523,-4.441310643
2020M04,MDD Growth,UEA,Financial,0.035621127,0,0
2020M04,MDD Growth,UEA,Fiscal,-0.260664168,0,0
2020M04,MDD Growth,UEA,Housing,-0.045497404,0,0
2020M04,MDD Growth,UEA,Industrial Output,-0.225528805,0,0
2020M04,MDD Growth,UEA,Investment,-0.567209942,0,0
2020M04,MDD Growth,UEA,Labour Market,-0.822439764,0,0
2020M04,MDD Growth,UEA,Prices,-0.010546881,0,0
2020M04,MDD Growth,UEA,Soft,-2.052204781,0,0
2020M04,MDD Growth,UEA,NA,0.01177101,0,0
2020M05,MDD Growth,UEA,Consumption,-0.43306266,-12.72383856,-3.849102161
2020M05,MDD Growth,UEA,Financial,0.021503981,0,0
2020M05,MDD Growth,UEA,Fiscal,-0.260450135,0,0
2020M05,MDD Growth,UEA,Housing,-0.026019628,0,0
2020M05,MDD Growth,UEA,Industrial Output,-0.218896509,0,0
2020M05,MDD Growth,UEA,Investment,-0.411417762,0,0
2020M05,MDD Growth,UEA,Labour Market,-0.7954271,0,0
2020M05,MDD Growth,UEA,Prices,-0.01383792,0,0
2020M05,MDD Growth,UEA,Soft,-1.56978275,0,0
2020M05,MDD Growth,UEA,NA,0.01160698,0,0
2020M06,MDD Growth,UEA,Consumption,-0.034932357,-9.452241558,-2.190555483
2020M06,MDD Growth,UEA,Financial,0.017662615,0,0
2020M06,MDD Growth,UEA,Fiscal,-0.227744782,0,0
2020M06,MDD Growth,UEA,Housing,-0.010682796,0,0
2020M06,MDD Growth,UEA,Industrial Output,-0.090888019,0,0
2020M06,MDD Growth,UEA,Investment,-0.313427772,0,0
2020M06,MDD Growth,UEA,Labour Market,-0.6921023,0,0
2020M06,MDD Growth,UEA,Prices,-0.013129771,0,0
2020M06,MDD Growth,UEA,Soft,-0.646211636,0,0
2020M06,MDD Growth,UEA,NA,0.01226311,0,0
2020M07,MDD Growth,UEA,Consumption,-0.008508563,-2.177362627,-1.409539034
2020M07,MDD Growth,UEA,Financial,0.02181688,0,0
2020M07,MDD Growth,UEA,Fiscal,-0.337764018,0,0
2020M07,MDD Growth,UEA,Housing,-0.014513169,0,0
2020M07,MDD Growth,UEA,Industrial Output,-0.003721677,0,0
2020M07,MDD Growth,UEA,Investment,-0.328111088,0,0
2020M07,MDD Growth,UEA,Labour Market,-0.53592426,0,0
2020M07,MDD Growth,UEA,Prices,-0.013522244,0,0
2020M07,MDD Growth,UEA,Soft,-0.253649691,0,0
2020M07,MDD Growth,UEA,NA,0.01279622,0,0
2020M08,MDD Growth,UEA,Consumption,0.085319849,-5.774681034,-1.084651274
2020M08,MDD Growth,UEA,Financial,0.026249207,0,0
2020M08,MDD Growth,UEA,Fiscal,-0.108607113,0,0
2020M08,MDD Growth,UEA,Housing,-0.039693916,0,0
2020M08,MDD Growth,UEA,Industrial Output,-0.069875419,0,0
2020M08,MDD Growth,UEA,Investment,-0.179283389,0,0
2020M08,MDD Growth,UEA,Labour Market,-0.46156819,0,0
2020M08,MDD Growth,UEA,Prices,-0.017471116,0,0
2020M08,MDD Growth,UEA,Soft,-0.307855882,0,0
2020M08,MDD Growth,UEA,NA,0.01246815,0,0
2020M09,MDD Growth,UEA,Consumption,0.190411791,-20.59780284,-0.888239261
2020M09,MDD Growth,UEA,Financial,0.021463317,0,0
2020M09,MDD Growth,UEA,Fiscal,-0.125713426,0,0
2020M09,MDD Growth,UEA,Housing,-0.000554303,0,0
2020M09,MDD Growth,UEA,Industrial Output,-0.005680455,0,0
2020M09,MDD Growth,UEA,Investment,-0.21060988,0,0
2020M09,MDD Growth,UEA,Labour Market,-0.399061487,0,0
2020M09,MDD Growth,UEA,Prices,-0.018223952,0,0
2020M09,MDD Growth,UEA,Soft,-0.230973127,0,0
2020M09,MDD Growth,UEA,NA,0.012919245,0,0
2020M10,MDD Growth,UEA,Consumption,0.173719905,-23.59973847,-0.866316904
2020M10,MDD Growth,UEA,Financial,0.025941182,0,0
2020M10,MDD Growth,UEA,Fiscal,-0.112640777,0,0
2020M10,MDD Growth,UEA,Housing,-0.016369281,0,0
2020M10,MDD Growth,UEA,Industrial Output,0.030434952,0,0
2020M10,MDD Growth,UEA,Investment,-0.190318399,0,0
2020M10,MDD Growth,UEA,Labour Market,-0.499273363,0,0
2020M10,MDD Growth,UEA,Prices,-0.020918401,0,0
2020M10,MDD Growth,UEA,Soft,-0.221111631,0,0
2020M10,MDD Growth,UEA,NA,0.01328832,0,0
2020M11,MDD Growth,UEA,Consumption,0.018553262,-10.41760221,-0.715066307
2020M11,MDD Growth,UEA,Financial,0.035013698,0,0
2020M11,MDD Growth,UEA,Fiscal,-0.18541306,0,0
2020M11,MDD Growth,UEA,Housing,0.052365184,0,0
2020M11,MDD Growth,UEA,Industrial Output,0.080985085,0,0
2020M11,MDD Growth,UEA,Investment,-0.083069056,0,0
2020M11,MDD Growth,UEA,Labour Market,-0.49611084,0,0
2020M11,MDD Growth,UEA,Prices,-0.018099307,0,0
2020M11,MDD Growth,UEA,Soft,-0.152748993,0,0
2020M11,MDD Growth,UEA,NA,0.01332933,0,0
2020M12,MDD Growth,UEA,Consumption,0.072492635,-0.440019707,-0.580856568
2020M12,MDD Growth,UEA,Financial,0.020864378,0,0
2020M12,MDD Growth,UEA,Fiscal,-0.116346785,0,0
2020M12,MDD Growth,UEA,Housing,0.029936043,0,0
2020M12,MDD Growth,UEA,Industrial Output,0.209320267,0,0
2020M12,MDD Growth,UEA,Investment,-0.006287254,0,0
2020M12,MDD Growth,UEA,Labour Market,-0.52001313,0,0
2020M12,MDD Growth,UEA,Prices,-0.01769595,0,0
2020M12,MDD Growth,UEA,Soft,-0.013186398,0,0
2020M12,MDD Growth,UEA,NA,0.01353437,0,0
2021M01,MDD Growth,UEA,Consumption,-0.22045291,38.05913856,-1.877503335
2021M01,MDD Growth,UEA,Financial,0.026597356,0,0
2021M01,MDD Growth,UEA,Fiscal,-0.058839815,0,0
2021M01,MDD Growth,UEA,Housing,-0.00420131,0,0
2021M01,MDD Growth,UEA,Industrial Output,-0.062620066,0,0
2021M01,MDD Growth,UEA,Investment,-0.171326162,0,0
2021M01,MDD Growth,UEA,Labour Market,-0.66388801,0,0
2021M01,MDD Growth,UEA,Prices,-0.012134042,0,0
2021M01,MDD Growth,UEA,Soft,-0.722458094,0,0
2021M01,MDD Growth,UEA,NA,0.01332933,0,0
2021M02,MDD Growth,UEA,Consumption,-0.044801066,9.080467945,-1.713135036
2021M02,MDD Growth,UEA,Financial,0.034705124,0,0
2021M02,MDD Growth,UEA,Fiscal,-0.102483613,0,0
2021M02,MDD Growth,UEA,Housing,-0.021883897,0,0
2021M02,MDD Growth,UEA,Industrial Output,-0.019823725,0,0
2021M02,MDD Growth,UEA,Investment,-0.191166811,0,0
2021M02,MDD Growth,UEA,Labour Market,-0.657047591,0,0
2021M02,MDD Growth,UEA,Prices,-0.013821735,0,0
2021M02,MDD Growth,UEA,Soft,-0.568151239,0,0
2021M02,MDD Growth,UEA,NA,0.012181094,0,0
2021M03,MDD Growth,UEA,Consumption,0.016418923,-6.748585477,0.34592553
2021M03,MDD Growth,UEA,Financial,0.037227404,0,0
2021M03,MDD Growth,UEA,Fiscal,-0.074152158,0,0
2021M03,MDD Growth,UEA,Housing,-0.01501522,0,0
2021M03,MDD Growth,UEA,Industrial Output,-0.060837631,0,0
2021M03,MDD Growth,UEA,Investment,-0.120814359,0,0
2021M03,MDD Growth,UEA,Labour Market,-0.146104448,0,0
2021M03,MDD Growth,UEA,Prices,-0.011210129,0,0
2021M03,MDD Growth,UEA,Soft,0.462789214,0,0
2021M03,MDD Growth,UEA,NA,0.012386136,0,0
2021M04,MDD Growth,UEA,Consumption,0.69180914,-11.50712523,3.605901468
2021M04,MDD Growth,UEA,Financial,0.022227241,0,0
2021M04,MDD Growth,UEA,Fiscal,0.097978565,0,0
2021M04,MDD Growth,UEA,Housing,0.14807828,0,0
2021M04,MDD Growth,UEA,Industrial Output,0.715191574,0,0
2021M04,MDD Growth,UEA,Investment,0.130230601,0,0
2021M04,MDD Growth,UEA,Labour Market,0.27498434,0,0
2021M04,MDD Growth,UEA,Prices,-0.004033719,0,0
2021M04,MDD Growth,UEA,Soft,1.801923282,0,0
2021M04,MDD Growth,UEA,NA,0.01181202,0,0
2021M05,MDD Growth,UEA,Consumption,0.448112843,-12.72383856,3.751108307
2021M05,MDD Growth,UEA,Financial,0.025723157,0,0
2021M05,MDD Growth,UEA,Fiscal,0.315938485,0,0
2021M05,MDD Growth,UEA,Housing,0.14212655,0,0
2021M05,MDD Growth,UEA,Industrial Output,0.498532253,0,0
2021M05,MDD Growth,UEA,Investment,0.220068906,0,0
2021M05,MDD Growth,UEA,Labour Market,0.339672192,0,0
2021M05,MDD Growth,UEA,Prices,0.000859382,0,0
2021M05,MDD Growth,UEA,Soft,1.77960328,0,0
2021M05,MDD Growth,UEA,NA,0.01177101,0,0
2021M06,MDD Growth,UEA,Consumption,0.205151534,-9.452241558,2.384637257
2021M06,MDD Growth,UEA,Financial,0.02656971,0,0
2021M06,MDD Growth,UEA,Fiscal,0.199977759,0,0
2021M06,MDD Growth,UEA,Housing,0.09811681,0,0
2021M06,MDD Growth,UEA,Industrial Output,0.22493632,0,0
2021M06,MDD Growth,UEA,Investment,0.128217597,0,0
2021M06,MDD Growth,UEA,Labour Market,0.30934151,0,0
2021M06,MDD Growth,UEA,Prices,-0.000120338,0,0
2021M06,MDD Growth,UEA,Soft,1.03519448,0,0
