Quarter,VURatio,Average
2015Q1,0.066657409,0.068932832
2015Q2,0.065837601,0.068932832
2015Q3,0.077276909,0.068932832
2015Q4,0.066203704,0.068932832
2016Q1,0.079153094,0.068932832
2016Q2,0.077236435,0.068932832
2016Q3,0.094874023,0.068932832
2016Q4,0.093323217,0.068932832
2017Q1,0.102999211,0.068932832
2017Q2,0.126377187,0.068932832
2017Q3,0.121102093,0.068932832
2017Q4,0.116600791,0.068932832
2018Q1,0.127934835,0.068932832
2018Q2,0.158539515,0.068932832
2018Q3,0.140659341,0.068932832
2018Q4,0.127161998,0.068932832
2019Q1,0.152173913,0.068932832
2019Q2,0.173433719,0.068932832
2019Q3,0.14676141,0.068932832
2019Q4,0.15347654,0.068932832
2020Q1,0.123322148,0.068932832
2020Q2,0.119720361,0.068932832
2020Q3,0.09371362,0.068932832
2020Q4,0.110720562,0.068932832
2021Q1,0.102122777,0.068932832
2021Q2,0.136729223,0.068932832
2021Q3,0.215573013,0.068932832
2021Q4,0.215121951,0.068932832
2022Q1,0.259780908,0.068932832
2022Q2,0.302558071,0.068932832
2022Q3,0.290993072,0.068932832
2022Q4,0.237962705,0.068932832
2023Q1,0.268458358,0.068932832
2023Q2,0.246935201,0.068932832
