Month,WorkPermits,Average
2021M01,1369,963.1666667
2021M02,965,963.1666667
2021M03,1049,963.1666667
2021M04,1000,963.1666667
2021M05,933,963.1666667
2021M06,1307,963.1666667
2021M07,1529,963.1666667
2021M08,1376,963.1666667
2021M09,1588,963.1666667
2021M10,1588,963.1666667
2021M11,1553,963.1666667
2021M12,2018,963.1666667
2022M01,2278,963.1666667
2022M02,2539,963.1666667
2022M03,3458,963.1666667
2022M04,4012,963.1666667
2022M05,3996,963.1666667
2022M06,3877,963.1666667
2022M07,3956,963.1666667
2022M08,3536,963.1666667
2022M09,3423,963.1666667
2022M10,3064,963.1666667
2022M11,3599,963.1666667
2022M12,2217,963.1666667
2023M01,2527,963.1666667
2023M02,2192,963.1666667
2023M03,2546,963.1666667
2023M04,2179,963.1666667
2023M05,2758,963.1666667
2023M06,3138,963.1666667
2023M07,3031,963.1666667
2023M08,2411,963.1666667
2023M09,2203,963.1666667
2023M10,2544,963.1666667
