Month,All,Male,Female
2021M01,16.3,13.5,19.2
2021M02,17.9,15.7,20.2
2021M03,19.4,17.9,20.9
2021M04,20.5,19.9,21.2
2021M05,18.3,18.3,18.3
2021M06,15.6,16.1,15.1
2021M07,12.5,13.3,11.7
2021M08,10.7,11.2,10.2
2021M09,10.6,11.1,10
2021M10,11.7,12,11.4
2021M11,12.4,12.5,12.3
2021M12,11.4,11.2,11.6
2022M01,9.6,8.7,10.4
2022M02,8.3,7.7,9
2022M03,8.6,8.7,8.6
2022M04,9.1,9.9,8.3
2022M05,9.2,10.3,8.1
2022M06,10.3,11,9.5
2022M07,11,11.2,10.7
2022M08,11.3,10.9,11.7
2022M09,11.2,10.8,11.7
2022M10,10.7,10.4,11.1
2022M11,10.6,10.5,10.7
2022M12,10.2,10.3,10
2023M01,10.2,10.3,10
2023M02,10.1,10.5,9.7
2023M03,10.1,10.6,9.5
2023M04,10.1,10.6,9.5
2023M05,9.9,10.3,9.4
2023M06,10.6,11.1,10
2023M07,10.7,11.1,10.2
2023M08,11.2,11.5,10.9
2023M09,12.5,12.1,12.8
2023M10,12.5,12.2,12.8
