Quarter,Category,Impact,MDD,MDD_SA
2015Q4,Consumption,0,44319,42384
2015Q4,Financial,0,0,0
2015Q4,Fiscal,0,0,0
2015Q4,Housing,0,0,0
2015Q4,Industrial_Output,0,0,0
2015Q4,Investment,0,0,0
2015Q4,Labour_Market,0,0,0
2015Q4,Prices,0,0,0
2015Q4,Soft,0,0,0
2015Q4,NA,0,0,0
2016Q1,Consumption,0.127302056,43329,43940
2016Q1,Financial,0.011276005,0,0
2016Q1,Fiscal,0.005288384,0,0
2016Q1,Housing,0.050721214,0,0
2016Q1,Industrial Output,0.023608788,0,0
2016Q1,Investment,0.055056367,0,0
2016Q1,Labour Market,0.042815367,0,0
2016Q1,Prices,-0.011069376,0,0
2016Q1,Soft,0.189401091,0,0
2016Q1,NA,0.008639718,0,0
2016Q2,Consumption,0.08072184,42998,44300
2016Q2,Financial,0.017343701,0,0
2016Q2,Fiscal,0.008724661,0,0
2016Q2,Housing,0.046494949,0,0
2016Q2,Industrial Output,-0.003271437,0,0
2016Q2,Investment,0.076591079,0,0
2016Q2,Labour Market,0.036755731,0,0
2016Q2,Prices,-0.009206993,0,0
2016Q2,Soft,-0.030769099,0,0
2016Q2,NA,0.009045264,0,0
2016Q3,Consumption,0.04981459,44985,44963
2016Q3,Financial,0.015824168,0,0
2016Q3,Fiscal,-0.004480962,0,0
2016Q3,Housing,0.049201348,0,0
2016Q3,Industrial Output,-0.017170744,0,0
2016Q3,Investment,0.059342627,0,0
2016Q3,Labour Market,0.040233688,0,0
2016Q3,Prices,-0.00965398,0,0
2016Q3,Soft,-0.035394845,0,0
2016Q3,NA,0.010545783,0,0
2016Q4,Consumption,0.04487035,47759,45536
2016Q4,Financial,0.025947664,0,0
2016Q4,Fiscal,0.005798065,0,0
2016Q4,Housing,0.064736088,0,0
2016Q4,Industrial Output,0.014806501,0,0
2016Q4,Investment,0.052080619,0,0
2016Q4,Labour Market,0.049258598,0,0
2016Q4,Prices,-0.011008533,0,0
2016Q4,Soft,0.006970644,0,0
2016Q4,NA,0.009018228,0,0
2017Q1,Consumption,0.013171314,44672,45762
2017Q1,Financial,0.019557764,0,0
2017Q1,Fiscal,0.008431575,0,0
2017Q1,Housing,0.065644948,0,0
2017Q1,Industrial Output,0.062765586,0,0
2017Q1,Investment,0.056013387,0,0
2017Q1,Labour Market,0.04583723,0,0
2017Q1,Prices,-0.006578651,0,0
2017Q1,Soft,-0.013673692,0,0
2017Q1,NA,0.008004362,0,0
2017Q2,Consumption,0.048529588,44607,46110
2017Q2,Financial,0.019698899,0,0
2017Q2,Fiscal,0.008263415,0,0
2017Q2,Housing,0.08152034,0,0
2017Q2,Industrial Output,0.016971045,0,0
2017Q2,Investment,0.021466586,0,0
2017Q2,Labour Market,0.053619125,0,0
2017Q2,Prices,-0.008861689,0,0
2017Q2,Soft,0.169876758,0,0
2017Q2,NA,0.008761382,0,0
2017Q3,Consumption,0.045068742,46369,46261
2017Q3,Financial,0.018453705,0,0
2017Q3,Fiscal,0.007861289,0,0
2017Q3,Housing,0.083228833,0,0
2017Q3,Industrial Output,0.001906706,0,0
2017Q3,Investment,0.080789788,0,0
2017Q3,Labour Market,0.044548002,0,0
2017Q3,Prices,-0.008869548,0,0
2017Q3,Soft,0.193300522,0,0
2017Q3,NA,0.0090723,0,0
2017Q4,Consumption,0.068871306,49580,47414
2017Q4,Financial,0.02381426,0,0
2017Q4,Fiscal,-0.004511749,0,0
2017Q4,Housing,0.082571676,0,0
2017Q4,Industrial Output,0.024378731,0,0
2017Q4,Investment,0.080532113,0,0
2017Q4,Labour Market,0.036154185,0,0
2017Q4,Prices,-0.006852273,0,0
2017Q4,Soft,0.228516641,0,0
